Estado,Capital,Lat,Long,geometry
Aguascalientes,Aguascalientes,21.880833,-102.296111,POINT (-102.296111 21.880833)
Baja California,Mexicali,32.663333,-115.467778,POINT (-115.467778 32.663333)
Baja California Sur,La Paz ,24.142222,-110.310833,POINT (-110.310833 24.142222)
Campeche,San Francisco de Campeche,19.848611,-90.525278,POINT (-90.525278 19.848611)
Chiapas,Tuxtla Gutiérrez,16.753056,-93.115556,POINT (-93.115556 16.753056)
Chihuahua,Chihuahua,28.635278,-106.088889,POINT (-106.088889 28.635278)
Coahuila de Zaragoza,Saltillo,25.433333,-101.0,POINT (-101 25.433333)
Colima,Colima,19.243611,-103.730833,POINT (-103.730833 19.243611)
Durango,Victoria de Durango,24.022778,-104.654444,POINT (-104.654444 24.022778)
Guanajuato,Guanajuato,21.017778,-101.256667,POINT (-101.256667 21.017778)
Guerrero,Chilpancingo de los Bravo,17.551389,-99.500833,POINT (-99.500833 17.551389)
Hidalgo,Pachuca de Soto,20.1225,-98.736111,POINT (-98.73611099999999 20.1225)
Jalisco,Guadalajara,20.676667,-103.3475,POINT (-103.3475 20.676667)
México,Toluca de Lerdo,19.292222,-99.653889,POINT (-99.65388900000001 19.292222)
Michoacán de Ocampo,Morelia,19.768333,-101.189444,POINT (-101.189444 19.768333)
Morelos,Cuernavaca,18.918611,-99.234167,POINT (-99.234167 18.918611)
Nayarit,Tepic,21.5,-104.9,POINT (-104.9 21.5)
Nuevo León,Monterrey,25.671389,-100.308611,POINT (-100.308611 25.671389)
Oaxaca,Oaxaca de Juárez,17.083333,-96.75,POINT (-96.75 17.083333)
Puebla,Puebla de Zaragoza,19.051389,-98.217778,POINT (-98.217778 19.051389)
Querétaro,Santiago de Querétaro,20.588056,-100.388056,POINT (-100.388056 20.588056)
Quintana Roo,Chetumal,18.503611,-88.305278,POINT (-88.305278 18.503611)
San Luis Potosí,San Luis Potosí,22.149722,-100.975,POINT (-100.975 22.149722)
Sinaloa,Culiacán,24.8,-107.383333,POINT (-107.383333 24.8)
Sonora,Hermosillo,29.095556,-110.950833,POINT (-110.950833 29.095556)
Tabasco,Villahermosa,17.986944,-92.919444,POINT (-92.919444 17.986944)
Tamaulipas,Ciudad Victoria,23.736111,-99.146111,POINT (-99.146111 23.736111)
Tlaxcala,Tlaxcala de Xicohténcatl,19.31695,-98.238231,POINT (-98.238231 19.31695)
Veracruz de Ignacio de la Llave,Xalapa-Enríquez,19.54,-96.9275,POINT (-96.92749999999999 19.54)
Yucatán,Mérida,20.97,-89.62,POINT (-89.62 20.97)
Zacatecas,Zacatecas,22.771667,-102.575278,POINT (-102.575278 22.771667)
Ciudad de México,Ciudad de México,19.419444,-99.145556,POINT (-99.145556 19.419444)